year,resource,variable,units,magnitude,source,data_value,flag
2007,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,64848,F
2007,Biogas,Generation,Gigawatt hours,Actual,MBIE,224,F
2007,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5188,F
2007,Coal,Generation,Gigawatt hours,Actual,MBIE,4786,F
2007,Gas,Generation,Gigawatt hours,Actual,MBIE,8552,F
2007,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,929297,F
2007,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3210,F
2007,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2007,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,74344,F
2007,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7019488,F
2007,Hydro,Generation,Gigawatt hours,Actual,MBIE,24249,F
2007,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2007,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,561559,F
2007,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2007,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8326498,F
2007,Renewable,Generation,Gigawatt hours,Actual,MBIE,28765,F
2007,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.68,F
2007,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,666120,F
2007,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.68,F
2007,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,244,F
2007,Solar,Generation,Gigawatt hours,Actual,MBIE,1,F
2007,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2007,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,20,F
2007,Total generation,Generation,Gigawatt hours,Actual,MBIE,42176,F
2007,Total generation,Prices,Number,Average,Electricity Authority,60,F
2007,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,976700,F
2007,Waste heat,Generation,Gigawatt hours,Actual,MBIE,71,F
2007,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,174783,F
2007,Wind,Generation,Gigawatt hours,Actual,MBIE,604,F
2007,Wind,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,13983,F
2007,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,137838,F
2007,Wood,Generation,Gigawatt hours,Actual,MBIE,476,F
2007,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11027,F
2008,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,62787,F
2008,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2008,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,64848,F
2008,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2062,F
2008,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5023,F
2008,Coal,Generation,Gigawatt hours,Actual,MBIE,3245,F
2008,Gas,Generation,Gigawatt hours,Actual,MBIE,11484,F
2008,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1046042,F
2008,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3417,F
2008,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2008,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,929297,F
2008,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,116745,F
2008,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,83683,F
2008,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,6923293,F
2008,Hydro,Generation,Gigawatt hours,Actual,MBIE,22616,F
2008,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2008,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7019488,F
2008,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-96194,F
2008,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,553863,F
2008,Oil,Generation,Gigawatt hours,Actual,MBIE,27,F
2008,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8496923,F
2008,Renewable,Generation,Gigawatt hours,Actual,MBIE,27756,F
2008,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.65,F
2008,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8326498,F
2008,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,170424,F
2008,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,679754,F
2008,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.65,F
2008,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1036,F
2008,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2008,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,244,F
2008,Solar,Other changes,Dollars,Thousands,Environmental Accounts,792,F
2008,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,83,F
2008,Total generation,Generation,Gigawatt hours,Actual,MBIE,42559,F
2008,Total generation,Prices,Number,Average,Electricity Authority,70,F
2008,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042266,F
2008,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2008,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,316019,F
2008,Wind,Generation,Gigawatt hours,Actual,MBIE,1032,F
2008,Wind,Gigawatt hours,Number,Proportion,MBIE,0.02,F
2008,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,174783,F
2008,Wind,Other changes,Dollars,Thousands,Environmental Accounts,141235,F
2008,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,25281,F
2008,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147746,F
2008,Wood,Generation,Gigawatt hours,Actual,MBIE,483,F
2008,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2008,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,137838,F
2008,Wood,Other changes,Dollars,Thousands,Environmental Accounts,9907,F
2008,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11820,F
2009,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,64060,F
2009,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2009,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,62787,F
2009,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,1273,F
2009,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5125,F
2009,Coal,Generation,Gigawatt hours,Actual,MBIE,4088,F
2009,Gas,Generation,Gigawatt hours,Actual,MBIE,9409,F
2009,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1308914,F
2009,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4197,F
2009,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.1,F
2009,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1046042,F
2009,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,262872,F
2009,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,104713,F
2009,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,6967435,F
2009,Hydro,Generation,Gigawatt hours,Actual,MBIE,22340,F
2009,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2009,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,6923293,F
2009,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,44141,F
2009,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,557395,F
2009,Oil,Generation,Gigawatt hours,Actual,MBIE,98,F
2009,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8828660,F
2009,Renewable,Generation,Gigawatt hours,Actual,MBIE,28308,F
2009,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.67,F
2009,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8496923,F
2009,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,331737,F
2009,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,706293,F
2009,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.67,F
2009,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1077,F
2009,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2009,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1036,F
2009,Solar,Other changes,Dollars,Thousands,Environmental Accounts,41,F
2009,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,86,F
2009,Total generation,Generation,Gigawatt hours,Actual,MBIE,41962,F
2009,Total generation,Prices,Number,Average,Electricity Authority,105,F
2009,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1046967,F
2009,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2009,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,339769,F
2009,Wind,Generation,Gigawatt hours,Actual,MBIE,1089,F
2009,Wind,Gigawatt hours,Number,Proportion,MBIE,0.03,F
2009,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,316019,F
2009,Wind,Other changes,Dollars,Thousands,Environmental Accounts,23750,F
2009,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,27182,F
2009,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147405,F
2009,Wood,Generation,Gigawatt hours,Actual,MBIE,473,F
2009,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2009,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147746,F
2009,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-341,F
2009,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11792,F
2010,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,68148,F
2010,Biogas,Generation,Gigawatt hours,Actual,MBIE,221,F
2010,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,64060,F
2010,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,4089,F
2010,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5452,F
2010,Coal,Generation,Gigawatt hours,Actual,MBIE,3109,F
2010,Gas,Generation,Gigawatt hours,Actual,MBIE,8387,F
2010,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1443074,F
2010,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4671,F
2010,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.11,F
2010,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1308914,F
2010,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,134160,F
2010,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,115446,F
2010,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7474182,F
2010,Hydro,Generation,Gigawatt hours,Actual,MBIE,24194,F
2010,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2010,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,6967435,F
2010,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,506747,F
2010,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,597935,F
2010,Oil,Generation,Gigawatt hours,Actual,MBIE,9,F
2010,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9633149,F
2010,Renewable,Generation,Gigawatt hours,Actual,MBIE,31182,F
2010,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2010,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8828660,F
2010,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,804489,F
2010,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,770652,F
2010,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2010,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1116,F
2010,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2010,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2010,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1077,F
2010,Solar,Other changes,Dollars,Thousands,Environmental Accounts,39,F
2010,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,F
2010,Total generation,Generation,Gigawatt hours,Actual,MBIE,42739,F
2010,Total generation,Prices,Number,Average,Electricity Authority,53,F
2010,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1056272,F
2010,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2010,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,486810,F
2010,Wind,Generation,Gigawatt hours,Actual,MBIE,1576,F
2010,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2010,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,339769,F
2010,Wind,Other changes,Dollars,Thousands,Environmental Accounts,147041,F
2010,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,38945,F
2010,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,159819,F
2010,Wood,Generation,Gigawatt hours,Actual,MBIE,517,F
2010,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147405,F
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,12414,F
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12786,F
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,61687,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,68148,F
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-6461,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4935,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8800,F
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1664738,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5808,F
2011,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1443074,F
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,221664,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,133179,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7145773,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,F
2011,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7474182,F
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-328409,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,571662,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9482541,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,33084,F
2011,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,9633149,F
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-150608,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,758603,R
2011,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1108,F
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1116,F
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-9,R
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,F
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43579,F
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,999249,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,469549,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1638,F
2011,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,486810,F
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-17262,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37564,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,139687,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,487,F
2011,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,159819,F
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-20132,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11175,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,68257,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,61687,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,6570,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5461,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8265,F
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1856453,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5965,F
2012,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1664738,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,191715,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,148516,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7442997,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,F
2012,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,F
